Id_cost,city,category,item,avg_price_egp,min_price_egp,max_price_egp
196,Al-hawamidiyah,Restaurants,Cappuccino (Regular Size),64.12,30,120
197,Al-hawamidiyah,Restaurants,"Soft Drink (Coca-Cola or Pepsi, 0.33 Liter Bottle)",16.38,15,20
198,Al-hawamidiyah,Restaurants,Bottled Water (0.33 Liter),6.53,5,10
199,Al-hawamidiyah,Markets,"Milk (Regular, 1 Liter)",43.93,38,50
200,Al-hawamidiyah,Markets,Fresh White Bread (500 g Loaf),39.57,20,120
201,Al-hawamidiyah,Markets,White Rice (1 kg),33.52,26,40
202,Al-hawamidiyah,Markets,"Eggs (12, Large Size)",61.17,36,72
203,Al-hawamidiyah,Markets,Local Cheese (1 kg),208.12,80,400
204,Al-hawamidiyah,Markets,Chicken Fillets (1 kg),220.62,180,250
205,Al-hawamidiyah,Markets,Beef Round or Equivalent Back Leg Red Meat (1 kg),470.26,400,500
206,Al-hawamidiyah,Markets,Apples (1 kg),72.11,40,90
207,Al-hawamidiyah,Markets,Bananas (1 kg),33.82,25,50
208,Al-hawamidiyah,Markets,Oranges (1 kg),22.69,10,35
209,Al-hawamidiyah,Markets,Tomatoes (1 kg),17.04,10,25
210,Al-hawamidiyah,Markets,Potatoes (1 kg),17.08,7,30
211,Al-hawamidiyah,Markets,Onions (1 kg),18.57,10,30
212,Al-hawamidiyah,Markets,Lettuce (1 Head),14,5,30
213,Al-hawamidiyah,Markets,Bottled Water (1.5 Liter),10.12,8,12
214,Al-hawamidiyah,Markets,Bottle of Wine (Mid-Range),300,150,500
215,Al-hawamidiyah,Markets,Domestic Beer (0.5 Liter Bottle),66,60,90
216,Al-hawamidiyah,Markets,Imported Beer (0.33 Liter Bottle),140,45,160
217,Al-hawamidiyah,Markets,"Cigarettes (Pack of 20, Marlboro)",100,80,150
218,Al-hawamidiyah,Transportation,Taxi Start (Standard Tariff),30,20,50
219,Al-hawamidiyah,Transportation,Taxi 1 km (Standard Tariff),22.5,10,30
220,Al-hawamidiyah,Transportation,Taxi 1 Hour Waiting (Standard Tariff),100,70,100
221,Al-hawamidiyah,Transportation,Gasoline (1 Liter),19.03,15,24
222,Al-hawamidiyah,Transportation,Volkswagen Golf 1.5 (or Equivalent New Compact Car),1690000,1690000,1800000
223,Al-hawamidiyah,Transportation,Toyota Corolla Sedan 1.6 (or Equivalent New Mid-Size Car),1506250,1200000,1700000
224,Al-hawamidiyah,Utilities (Monthly),"Basic Utilities for 85 m2 Apartment (Electricity, Heating, Cooling, Water, Garbage)",669.6,470,1000
225,Al-hawamidiyah,Utilities (Monthly),"Mobile Phone Plan (Monthly, with Calls and 10GB+ Data)",335.79,150,500
226,Al-hawamidiyah,Utilities (Monthly),"Broadband Internet (Unlimited Data, 60 Mbps or Higher)",533.64,250,1000
227,Al-hawamidiyah,Sports And Leisure,Cinema Ticket (International Release),150,100,150
228,Al-hawamidiyah,Childcare,"Private Full-Day Preschool or Kindergarten, Monthly Fee per Child",4155.56,2500,5000
229,Al-hawamidiyah,Childcare,"International Primary School, Annual Tuition per Child",111363.64,70000,308505.74
230,Al-hawamidiyah,Clothing And Shoes,Jeans (Levi's 501 or Similar),1503.57,600,3000
231,Al-hawamidiyah,Clothing And Shoes,Summer Dress in a Chain Store (e.g. Zara or H&M),2300,800,4000
232,Al-hawamidiyah,Clothing And Shoes,Nike Running Shoes (Mid-Range),6545.45,3500,12000
233,Al-hawamidiyah,Clothing And Shoes,Men's Leather Business Shoes,2877.78,700,5000
234,Al-hawamidiyah,Salaries And Financing,"Annual Mortgage Interest Rate (20-Year Fixed, in %)",20.5,14,24
235,Alexandria,Restaurants,Meal at an Inexpensive Restaurant,200,120,500
236,Alexandria,Restaurants,"Meal for Two at a Mid-Range Restaurant (Three Courses, Without Drinks)",800,500,1500
237,Alexandria,Restaurants,Combo Meal at McDonald's (or Equivalent Fast-Food Meal),250,200,250
238,Alexandria,Restaurants,Domestic Draft Beer (0.5 Liter),72.5,60,110
