Property_id,category,governorate,city,location_full,location_name,property_type,Title,Business_Type,price_egp,price_period,price_per_sqm,size_sqm,latitude,longitude
71908797,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,F&B 700 SQM for rent at North 90 at 5th,General Commercial Shop,1100000,monthly,1571.43,700,30.07310104,31.53912735
71908664,Shop,Cairo,New Cairo,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",North Teseen St.,Shop,shop 140 SQM for rent direct on North 90 at 5th,General Commercial Shop,220000,monthly,1571.43,140,30.07310104,31.53912735
71908455,Shop,Cairo,New Cairo,"Mohamed Naguib Axis, North Investors Area, New Cairo City, Cairo",Mohamed Naguib Axis,Shop,Shop for rent Mohamed Naguib AXIS at 5th,General Commercial Shop,900000,monthly,1565.22,575,30.03008652,31.47473145
71905160,Shop,Cairo,New Cairo,"South Teseen St., The 5th Settlement, New Cairo City, Cairo",South Teseen St.,Shop,**A Prime Commercial Investment Opportunity in the,General Commercial Shop,30000,monthly,2000,15,29.96693993,31.54563713
72190687,Shop,Giza,Sheikh Zayed,"16th District, Sheikh Zayed City, Giza",16th District,Shop,Commercial and administrative shops for rent,General Commercial Shop,50000,monthly,1000,50,30.04056549,30.99054337
68801138,Shop,Cairo,Cairo,"Al Nozha St., Almazah, Heliopolis - Masr El Gedida, Cairo",Al Nozha St.,Shop,"Shop for rent in a prime location on Nozha Street,",General Commercial Shop,70000,monthly,636.36,110,30.09337807,31.34216881
71655670,Shop,Cairo,New Cairo,"South Teseen St., The 5th Settlement, New Cairo City, Cairo",South Teseen St.,Shop,Ready-to-rent commercial space in Fifth Settlement,General Commercial Shop,800000,monthly,1000,800,29.96693993,31.54563713
68797672,Shop,Cairo,New Cairo,"One Ninety Mall, South Teseen St., The 5th Settlement, New Cairo City, Cairo",One Ninety Mall,Shop,Retail for Rent Park Mall 48m Direct on South 90,General Commercial Shop,70000,monthly,1458.33,48,30.0146637,31.40620613
68796916,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,"67 Meters For rent in ritzy mall , main frontage",General Commercial Shop,100000,monthly,1492.54,67,30.03129959,30.99361992
68796128,Shop,Cairo,New Cairo,"One Golden Square Mall, The 5th Settlement, New Cairo City, Cairo",One Golden Square Mall,Shop,Shop 400 SQM For rent at Golden Square,General Commercial Shop,640000,monthly,1600,400,30.01549721,31.52739334
68795091,Shop,Giza,Sheikh Zayed,"Ritzy, Al Shabab St., Sheikh Zayed City, Giza",Ritzy,Shop,111Meters in prime location-Ready for operation,General Commercial Shop,250000,monthly,2252.25,111,30.03129959,30.99361992
68794234,Shop,Cairo,New Cairo,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",Mostafa Kamel Axis,Shop,shop 150 SQM for rent at Mostafa Kamel AXIS 5th,General Commercial Shop,210000,monthly,1400,150,30.0522747,31.44463348
68792641,Shop,Cairo,New Cairo,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",Bank Center Street,Shop,equipped commercial office for rent in the Banks,General Commercial Shop,382500,monthly,850,450,30.01827621,31.42161369
68792489,Shop,Cairo,New Cairo,"ELEGANTRY, District 1, The 5th Settlement, New Cairo City, Cairo",ELEGANTRY,Shop,Retail shop for rent 35 sqm + 41 sqm outdoor spac,General Commercial Shop,35000,monthly,1000,35,30.00735283,31.43020439
68791290,Shop,Cairo,Shorouk,"4th Neighborhood, 4th Area, Shorouk City, Cairo",4th Neighborhood,Shop,Shop for rent in a prime location in El Shorouk,General Commercial Shop,65000,monthly,1756.76,37,30.14154053,31.64562607
68789351,Shop,Cairo,Shorouk,"7th Neighborhood, 9th Area, Shorouk City, Cairo",7th Neighborhood,Shop,Shop for rent in a prime location in El Shorouk,General Commercial Shop,55000,monthly,478.26,115,30.17437744,31.63912201
68786271,Shop,Giza,Sheikh Zayed,"The Gate Plaza Mall, 10th District, Sheikh Zayed City, Giza",The Gate Plaza Mall,Shop,Shop for Rent in the Gate Plaza | Prime Location,General Commercial Shop,1136000,monthly,1670.59,680,30.03858185,30.97801208
68786235,Shop,Giza,Sheikh Zayed,"The Gate Plaza Mall, 10th District, Sheikh Zayed City, Giza",The Gate Plaza Mall,Shop,Shop with outdoor | The Gate mall | prime location,General Commercial Shop,250000,monthly,2000,125,30.03858185,30.97801208
68786112,Shop,Giza,Sheikh Zayed,"Trivium Zayed, 2nd District, Sheikh Zayed City, Giza",Trivium Zayed,Shop,Fully Finished with ACs Shop for Rent |Trivum Mall,General Commercial Shop,200000,monthly,2000,100,30.02603531,31.00940895
68784769,Shop,Giza,Sheikh Zayed,"The Gate Plaza Mall, 10th District, Sheikh Zayed City, Giza",The Gate Plaza Mall,Shop,Retail Shop for Rent 100m in Zayed Plaza Mall,General Commercial Shop,60000,monthly,600,100,30.03858185,30.97801208
72185440,Shop,Cairo,New Cairo,"New Narges, New Cairo City, Cairo",New Narges,Shop,Commercial Shop for Rent in Narges Villas,General Commercial Shop,90000,monthly,937.5,96,29.99422455,31.45353889
